rid,rname,address,city,country,phone_number,num_deliveries
1,Andrea Lee,99846 Shaun Tunnel Suite 674 D,East Robin,Guinea,001-368-614-610,0
2,Pamela Martin,821 Nguyen Rapid Suite 590 Bro,Lake Regina,Iran,893.630.5776,0
3,Sandra Strong,1467 Richard Club New Mikeshir,Jimenezmouth,United States of Ame,8821868729,0
4,Jake Reed,1684 David Via Johnsonland OR,Tonyburgh,Costa Rica,876.306.9300x49,0
5,David Brown,529 Conley Roads East Donna M,South David,New Caledonia,(455)353-3498x4,0
6,Beth Ramirez,428 Ramirez Rest Apt. 064 Lake,Sandrashire,Mozambique,337-515-5806x75,0
7,Donna Underwood,8326 Blake Creek Lake Stephani,East Andrew,Antigua and Barbuda,800.960.4835x26,0
8,Anthony Hinton,68467 Aguirre Overpass Port Ja,Port Allisonmouth,Spain,(560)198-8554,0
9,Andrea Jones,27720 Jason Villages Suite 899,Ashleefort,Macao,(427)702-1960x4,0
10,Jennifer Grant,PSC 8153 Box 9359 APO AE 4374,West Katrina,Sri Lanka,240.539.8863x92,0
11,Lisa Davis MD,33210 White View Moorehaven M,Saraview,Uganda,(344)008-1033,0
12,Elizabeth Lopez,37237 Robbins Plains East Alic,Lake Travis,Cyprus,684-755-8006x94,0
13,Mary Parker,8982 Peter Ports Cooleytown K,Ambertown,Rwanda,(518)682-8353x6,0
14,Melody Kelly,PSC 0496 Box 7193 APO AA 9636,West Amandachester,Pitcairn Islands,-8097,0
15,Dr. Patrick Garret,4992 Oliver Estate South Bryan,Michaelberg,Saudi Arabia,813-187-9540x40,0
16,Robert Hawkins MD,009 Amber Circle South Jeremy,Hicksmouth,Lesotho,(163)689-7148,0
17,Nancy Miller,59518 Wilson Port New Katie O,East Jenniferchester,Nigeria,333-743-6589x27,0
18,Nathan Wang,0713 Moore Parkways East Nicol,New Davidview,Palau,669-147-8396x93,0
19,Michael Dunn,6732 Rowe Cove Kelleystad DE ,Tiffanyfort,Germany,627-631-5627x64,0
20,Dr. Krista Webb,30663 Hicks Crescent Apt. 094 ,Brayberg,Niue,-2410,0
21,Mark Johnson,482 Knox Passage Apt. 995 Port,Curtisfort,New Zealand,402.352.1052,0
22,April Reeves,38177 Randy Forge Suite 299 Ne,New Kellyport,Malaysia,668740890,0
23,Andrew Wilkerson,654 Richardson Extensions Apt.,Lake Christy,Uruguay,012-443-3559x02,0
24,Gregory Bates,631 Leroy Inlet Ryanmouth ME ,Jamesview,Antarctica (the terr,715.607.6762x10,0
25,Brandi Dixon,699 Lowe Park Suite 141 Michae,Websterton,Saudi Arabia,523.887.7027,0
26,Wendy Holden,598 Cunningham Cove Whitechest,Steeleburgh,Mexico,099.206.5721x26,0
27,Kristen Brown DVM,082 Vickie Loaf Saraburgh CT ,East David,China,873.368.0335x08,0
28,Brian Cross,16620 Noah Estate Port Megan ,Bakerbury,Sweden,958.731.6154x44,0
29,Manuel Jimenez,5408 Lisa Plaza Suite 885 Port,East Dannyview,Guam,3061532916,0
30,Gregory Chandler,94112 Martin Ways Michaelbury,Amyburgh,Libyan Arab Jamahiri,(352)943-7254x8,0
31,Dawn Gregory,302 Michael Manor Apt. 390 Ste,Jacobsside,Estonia,627-002-0415x71,0
32,Emily Thomas,60765 Garcia Hollow Poncebury,Port Mikeburgh,Kyrgyz Republic,(102)489-3223x9,0
33,Kayla Valdez,PSC 9008 Box 9186 APO AE 2407,Patrickside,Cameroon,604.414.2619x88,0
34,Rebecca Cole,5837 Jermaine Extensions Suite,West Autumn,Mayotte,947-833-8705x42,0
35,Victoria Callahan,5061 Ware Ranch Suite 453 Ashl,North Jean,Turks and Caicos Isl,001-530-837-000,0
36,Dr. Michael Hanson,825 William Hollow Stephenburg,Christinaview,Mongolia,-4668,0
37,Curtis Wright,613 Fischer Fords West Lauren,East Pennyfurt,Angola,-3554,0
38,James Johnson,66141 Stephens Track Richardch,New Matthew,Equatorial Guinea,001-167-273-747,0
39,Jennifer Flores,32166 Freeman Isle Port Morgan,Hancockland,Haiti,517-859-7001x71,0
40,Kristina Hayes,932 Callahan Grove Suite 090 L,North Melissachester,Saint Helena,(076)030-0569x2,0
41,Joseph Smith,8965 Patricia Haven North Laur,North Jeremyland,Macedonia,9272962641,0
42,Edwin Medina,420 Hansen Branch Suite 712 So,West Lauraton,Macao,9143508049,0
43,Justin Hurst,370 Green Pass Andreastad MN ,Christophertown,Heard Island and McD,(901)564-3002,0
44,Brandon Carlson,83085 Dana Walks Rebeccaland ,Timothyton,Equatorial Guinea,771.717.4107x17,0
45,Rachel Cannon,038 Manning Isle New Hannahmou,Markville,Belarus,001-911-982-171,0
46,Randy Baker,94232 William Brook East Logan,Ortizshire,Peru,442-273-1549x62,0
47,Craig Thompson,93333 Jasmine Turnpike Apt. 54,Hernandezfort,Nepal,-5575,0
48,Nicholas King,538 Marshall Fort Myersburgh ,Jessicaburgh,Pakistan,658.963.1936x51,0
49,Christopher Cooper,82207 Hart Locks Apt. 641 Weav,Atkinsborough,Sao Tome and Princip,6328425467,0
50,Lance Cooper,75946 Donald Junctions Lake Al,Port Franciscoton,Cyprus,818.586.9017,0
51,Yolanda Weeks,640 Rachel Freeway Apt. 485 Ro,Tammyview,Central African Repu,048.657.5963x60,0
52,Mallory Ryan,437 Nathan Curve Kyleview MD ,New Eric,Russian Federation,-10957,0
53,Hannah Lozano,18615 Barbara Springs Jennifer,Brianmouth,Bhutan,249.639.9638x32,0
54,Laura Gillespie,017 Jones Plain Walshside MN ,East Rebeccaville,Norway,787-308-6626x75,0
55,Diana Daniels,626 John Flats Suite 454 Nicho,Elizabethmouth,Brazil,(854)866-8685,0
56,Edward Jones,42874 Mclaughlin Junction Juli,North Sean,Comoros,005.113.0164,0
57,Richard Conley,415 Kyle Trail Suite 623 Marti,Chenberg,Iceland,-3539,0
58,Andrea Burgess,43166 Gomez Square Walkerborou,West Stevenmouth,Poland,428-875-3423x88,0
59,Casey Rios,61286 Lee Plains Apt. 476 Lake,North Stevenbury,Saint Barthelemy,(457)015-9139,0
60,Timothy Reed,414 Jesse Overpass Apt. 015 No,New Matthewtown,Gabon,856-628-8217,0
61,John Johnson,636 Amanda Point Mcphersonton,New Brianfurt,Haiti,3719503510,0
62,Jacqueline Boyer,1019 Eileen Row Suite 470 Bail,Pattyside,Azerbaijan,4823852106,0
63,Deborah Rice,0192 Kaufman Port Apt. 242 Hea,Lake Carolineberg,Eritrea,756-191-7689x30,0
64,Rhonda King,111 Stacy Estate Conwayshire ,Markberg,Western Sahara,001-613-950-499,0
65,Ryan Jackson,299 Miller Rue Suite 737 South,South Alexandra,Bulgaria,6370341046,0
66,Dr. Daniel Riley,9320 Rachel Ranch Darylburgh ,Mccoychester,United States Virgin,260.706.3209x22,0
67,Theresa Mullins,27861 Mark Mission Apt. 000 Ke,West Kimberlyshire,Czech Republic,-2195,0
68,Tyler Moore,62251 William Island Suite 689,Stephenville,New Caledonia,4854887894,0
69,John Jenkins,2608 Joel Mountains Apt. 962 P,Parkershire,Macedonia,561643762,0
70,Kathy Allen,8683 Mccarthy Crossroad Suite ,West Seantown,Greece,664.157.9368x57,0
71,Mitchell Washingto,14949 Williams Spur Chentown ,Port Susanborough,Norfolk Island,001-998-860-040,0
72,Alex Evans,Unit 7009 Box 4210 DPO AA 0272,Ethanside,Palestinian Territor,4775361119,0
73,James Duffy,9826 Kristina Lakes Suite 002 ,Ashleyport,Lao People's Democra,637-486-0139x60,0
74,Paul Lynn,77240 Harper Mews Suite 588 No,Timothyside,Hong Kong,(226)015-4136,0
75,Stephanie Barr,97357 Hall Roads Suite 443 Nor,Port Douglas,Western Sahara,624-161-6041x49,0
76,Jeremy Cooper,335 Durham Coves Apt. 798 Nort,Lake Danielfort,Central African Repu,277.299.3277,0
